| 2020:06:24 22:32:25,947 | I | root | lib/conn_util.py +77 MongoMixin MONGO	Service Database has been Initialized!
| 2020:06:24 22:32:25,974 | I | root | run.py +111 __init__ APP	Running Tornado Application Port - [ 2331 ]
| 2020:06:24 22:33:12,607 | I | root | lib/fernet_crypto.py +65 FN_DECRYPT 	
| 2020:06:24 22:33:12,608 | I | root | lib/xen_protocol.py +54 require_auth Authorization	5d232de88d26f4bb9e11367b
| 2020:06:24 22:33:12,611 | I | root | lib/fernet_crypto.py +65 FN_DECRYPT 	
| 2020:06:24 22:33:12,612 | I | root | lib/xen_protocol.py +71 require_auth x-Origin-Key	5e551060234c5ff26752bd45
| 2020:06:24 22:33:12,614 | I | root | lib/xen_protocol.py +86 require_auth x-Api-Key	5e58fd693bf1f7d832254c76
| 2020:06:24 22:33:12,617 | E | tornado.application | Uncaught exception DELETE /v2/web/api/med/servicelist?id=5ef3807551d0f2167ff186d8 (::1)
HTTPServerRequest(protocol='http', host='localhost:2331', method='DELETE', uri='/v2/web/api/med/servicelist?id=5ef3807551d0f2167ff186d8', version='HTTP/1.1', remote_ip='::1')
Traceback (most recent call last):
  File "/home/nilanjan/Downloads/enter/lib/python3.7/site-packages/tornado/web.py", line 1699, in _execute
    result = await result
TypeError: object async_generator can't be used in 'await' expression
| 2020:06:24 22:33:12,618 | E | tornado.access | 500 DELETE /v2/web/api/med/servicelist?id=5ef3807551d0f2167ff186d8 (::1) 18.18ms
| 2020:06:24 22:34:16,982 | I | tornado.general | /home/nilanjan/projects/ohzas/server_v2/web/med/medservicelist.py modified; restarting server
| 2020:06:24 22:34:17,066 | I | root | ------
| 2020:06:24 22:34:17,103 | I | root | lib/log_util.py +50 <module> All Logs written in ./log/run.log
| 2020:06:24 22:34:17,554 | D | asyncio | Using selector: EpollSelector
| 2020:06:24 22:34:17,661 | I | root | lib/conn_util.py +39 MongoMixin MONGO	User Database has been Initialized!
| 2020:06:24 22:34:17,689 | I | root | lib/conn_util.py +58 MongoMixin MONGO	Service Database has been Initialized!
| 2020:06:24 22:34:17,726 | I | root | lib/conn_util.py +77 MongoMixin MONGO	Service Database has been Initialized!
| 2020:06:24 22:34:17,742 | I | root | run.py +111 __init__ APP	Running Tornado Application Port - [ 2331 ]
| 2020:06:24 22:34:19,898 | I | root | ------
| 2020:06:24 22:34:19,932 | I | root | lib/log_util.py +50 <module> All Logs written in ./log/run.log
| 2020:06:24 22:34:20,390 | D | asyncio | Using selector: EpollSelector
| 2020:06:24 22:34:20,458 | I | root | lib/conn_util.py +39 MongoMixin MONGO	User Database has been Initialized!
| 2020:06:24 22:34:20,490 | I | root | lib/conn_util.py +58 MongoMixin MONGO	Service Database has been Initialized!
| 2020:06:24 22:34:20,518 | I | root | lib/conn_util.py +77 MongoMixin MONGO	Service Database has been Initialized!
| 2020:06:24 22:34:20,538 | I | root | run.py +111 __init__ APP	Running Tornado Application Port - [ 2331 ]
| 2020:06:24 22:34:30,602 | I | root | lib/fernet_crypto.py +65 FN_DECRYPT 	
| 2020:06:24 22:34:30,604 | I | root | lib/xen_protocol.py +54 require_auth Authorization	5d232de88d26f4bb9e11367b
| 2020:06:24 22:34:30,606 | I | root | lib/fernet_crypto.py +65 FN_DECRYPT 	
| 2020:06:24 22:34:30,608 | I | root | lib/xen_protocol.py +71 require_auth x-Origin-Key	5e551060234c5ff26752bd45
| 2020:06:24 22:34:30,611 | I | root | lib/xen_protocol.py +86 require_auth x-Api-Key	5e58fd693bf1f7d832254c76
| 2020:06:24 22:34:30,617 | D | root | med/medservicelist.py +770 delete RSP	{'code': 4100, 'status': False, 'message': 'Invalid ID'}
| 2020:06:24 22:34:30,617 | I | tornado.access | 200 DELETE /v2/web/api/med/servicelist?id=5ef3807551d0f2167ff186d8 (::1) 23.46ms
| 2020:06:24 22:36:08,541 | I | tornado.general | /home/nilanjan/projects/ohzas/server_v2/web/med/medservicelist.py modified; restarting server
| 2020:06:24 22:36:08,621 | I | root | ------
| 2020:06:24 22:36:08,648 | I | root | lib/log_util.py +50 <module> All Logs written in ./log/run.log
| 2020:06:24 22:36:09,097 | D | asyncio | Using selector: EpollSelector
| 2020:06:24 22:36:09,176 | I | root | lib/conn_util.py +39 MongoMixin MONGO	User Database has been Initialized!
| 2020:06:24 22:36:09,205 | I | root | lib/conn_util.py +58 MongoMixin MONGO	Service Database has been Initialized!
| 2020:06:24 22:36:09,237 | I | root | lib/conn_util.py +77 MongoMixin MONGO	Service Database has been Initialized!
| 2020:06:24 22:36:09,254 | I | root | run.py +111 __init__ APP	Running Tornado Application Port - [ 2331 ]
| 2020:06:24 22:36:10,381 | I | root | ------
| 2020:06:24 22:36:10,419 | I | root | lib/log_util.py +50 <module> All Logs written in ./log/run.log
